label,tags_count,hashtags_count,quotes,url,full_cap_words_count,cap_words_count,tag_realDonaldTrump,negative_score,tweet_length,NN,DT,IN,JJ,NNS,VBZ,VBD,hr_publish_time_noon,hr_publish_time_evening-night
0,0.375,0,1,0,0.1,0.1,1,0,0.22,0.4,0,0,0.2,0,0.1,0,1,0
0,0.5,0,1,0,0.083333333,0.083333333,1,0,0.268,0.416666667,0,0,0.083333333,0,0,0,1,0
1,0.125,0,0,0,0,0.133333333,0,0,0.341,0.133333333,0.066666667,0,0.2,0,0,0,0,1
0,0,0,1,0,0,0.071428571,0,0.345,0.659,0.214285714,0.035714286,0.071428571,0.071428571,0.035714286,0,0,1,0
0,0,0,1,0,0.028571429,0.142857143,0,0,0.829,0.228571429,0,0.142857143,0,0.028571429,0,0.085714286,1,0
1,0.125,0,1,0,0.038461538,0.076923077,0,0.234,0.61,0.230769231,0.076923077,0.076923077,0.076923077,0.038461538,0.038461538,0,1,0
0,0,0,0,0,0.068965517,0.344827586,0,0,0.683,0.068965517,0.034482759,0.068965517,0,0,0,0.068965517,0,1
0,0.125,0,1,0,0.037037037,0.185185185,0,0.084,0.634,0.111111111,0.111111111,0,0.037037037,0.037037037,0.111111111,0.074074074,0,1
0,0.125,0,0,0,0,0.148148148,0,0.127,0.634,0.259259259,0.037037037,0.111111111,0.111111111,0.037037037,0.037037037,0.037037037,0,0
0,0.125,0,0,0,0.08,0.12,0,0.239,0.585,0.16,0.08,0.08,0,0.04,0,0,1,0
0,0,0,0,0,0.034482759,0.137931034,0,0.22,0.683,0.137931034,0.103448276,0.034482759,0.103448276,0.034482759,0.068965517,0,1,0
0,0.125,0,0,0,0.033333333,0.066666667,0,0.222,0.707,0.133333333,0.1,0.033333333,0.066666667,0.033333333,0.033333333,0.066666667,1,0
0,0.125,0,1,0,0,0.032258065,0,0.129,0.732,0.193548387,0.129032258,0.096774194,0.129032258,0.096774194,0.064516129,0,1,0
0,0,0,0,0,0.175,0.3,0,0.085,0.951,0,0.05,0.1,0.025,0,0.025,0.025,1,0
0,0,0,0,0,0,0.185185185,0,0.242,0.634,0.222222222,0.074074074,0,0.074074074,0,0.074074074,0,0,1
0,0,0,0,0,0.038461538,0.153846154,0,0.131,0.61,0.076923077,0.076923077,0.115384615,0,0.115384615,0.076923077,0.038461538,0,1
0,0,0,0,0,0.034482759,0.068965517,0,0,0.683,0.034482759,0.137931034,0.068965517,0.068965517,0.172413793,0,0,0,1
0,0,0,0,0,0.129032258,0.193548387,0,0,0.732,0.096774194,0.096774194,0.064516129,0.129032258,0.032258065,0,0,0,1
1,0,0.143,0,1,0,0.277777778,0,0,0.415,0.222222222,0,0.055555556,0,0,0,0,0,1
0,0,0,0,0,0,0.166666667,0,0,0.561,0.125,0.125,0.125,0.083333333,0,0.083333333,0,0,1
0,0.25,0,0,0,0.1875,0.25,0,0,0.756,0.03125,0.0625,0.15625,0.03125,0,0,0,1,0
0,0.25,0,0,0,0.153846154,0.269230769,0,0,0.61,0.076923077,0.038461538,0.153846154,0.115384615,0,0,0,1,0
0,0,0,0,0,0,0.25,0,0.144,0.366,0.0625,0.0625,0.125,0,0.0625,0,0,1,0
0,0,0,0,0,0.206896552,0.344827586,0,0,0.683,0,0.068965517,0.068965517,0.068965517,0.034482759,0,0.068965517,0,1
0,0,0,0,0,0.107142857,0.142857143,0,0.291,0.659,0.142857143,0.035714286,0.107142857,0.107142857,0,0,0,0,1
1,0,0.286,0,1,0,0.2,0,0,0.22,0.2,0,0,0.1,0.1,0,0,0,1
0,0.25,0,0,0,0.05,0.25,1,0.156,0.463,0.15,0.05,0.1,0.05,0.05,0,0.05,0,1
0,0.5,0,1,1,0,0,0,0,0.171,0.5,0,0,0.125,0,0.125,0,0,1
0,0.25,0.143,1,0,0.041666667,0.166666667,0,0.171,0.561,0.166666667,0.041666667,0,0.083333333,0,0,0,0,1
0,0.125,0,1,0,0,0.032258065,0,0.082,0.732,0.290322581,0.129032258,0.032258065,0.096774194,0.032258065,0.032258065,0,0,1
0,0.125,0,1,1,0,0.277777778,0,0.147,0.415,0.166666667,0.055555556,0,0.166666667,0.055555556,0,0,0,1
0,0.5,0,1,0,0.055555556,0.222222222,1,0,0.415,0.222222222,0,0,0.166666667,0,0,0,0,1
0,0.25,0,1,0,0.153846154,0.230769231,0,0.146,0.61,0.192307692,0.115384615,0,0.076923077,0,0.076923077,0.038461538,0,1
0,0.25,0,1,0,0.035714286,0.142857143,0,0,0.659,0.214285714,0.107142857,0.071428571,0.107142857,0.071428571,0,0.035714286,0,1
0,0.25,0.571,1,0,0,0,0,0,0.39,0.294117647,0.117647059,0.058823529,0.117647059,0,0.058823529,0,0,1
0,0,0,0,0,0,0.115384615,0,0.201,0.61,0.115384615,0,0.153846154,0.230769231,0.038461538,0.115384615,0,0,1
1,0.25,0,0,0,0.041666667,0.083333333,0,0,0.561,0.125,0.041666667,0.083333333,0.041666667,0.125,0,0,0,1
1,0.125,1,1,0,0.037037037,0.037037037,0,0,0.634,0.148148148,0.111111111,0.148148148,0.148148148,0.111111111,0.037037037,0,0,1
1,0,0,1,1,0,0.416666667,0,0,0.268,0.166666667,0.083333333,0.166666667,0.166666667,0.083333333,0,0,0,1
1,0,0.143,0,1,0,0.142857143,0,0,0.488,0.095238095,0,0.142857143,0,0.095238095,0,0.095238095,0,1
1,0.25,0.286,1,0,0.043478261,0.130434783,1,0.287,0.537,0.217391304,0.130434783,0.086956522,0.043478261,0.043478261,0.086956522,0,0,1
1,0,0,0,1,0,0.125,0,0,0.171,0.125,0,0.125,0,0.125,0,0,0,1
1,0,0,0,0,0,0.2,0,0.22,0.22,0.2,0.2,0,0.1,0,0,0.1,0,1
1,0.25,0,1,0,0,0.176470588,1,0,0.39,0.117647059,0.058823529,0.176470588,0.117647059,0.058823529,0,0,0,1
0,0,0,0,0,0,0.172413793,0,0.208,0.683,0.206896552,0.103448276,0.068965517,0.103448276,0,0.103448276,0,1,0
0,0.25,0,0,0,0.035714286,0.178571429,0,0,0.659,0.035714286,0.035714286,0.107142857,0,0.071428571,0,0,1,0
1,0,0.143,0,1,0,0.222222222,0,0,0.195,0.111111111,0,0,0,0,0,0,0,1
0,0.125,0,0,0,0.2,0.266666667,0,0,0.341,0.2,0,0.066666667,0,0,0,0,0,1
0,0,0,0,0,0.148148148,0.222222222,0,0,0.634,0.148148148,0.111111111,0.111111111,0.074074074,0,0.037037037,0,0,0
1,0,0.143,0,1,0,0.285714286,0,0,0.146,0.285714286,0,0,0.142857143,0,0,0,0,0
1,0,0.143,0,1,0,0.375,0,0,0.171,0.375,0,0,0,0,0,0,0,0
1,0,0.143,0,1,0,0.375,0,0,0.171,0.125,0,0,0.125,0,0,0,0,0
1,0,0.143,0,1,0,0.375,0,0,0.171,0.375,0,0,0,0,0,0,0,0
1,0,0.143,0,1,0,0.285714286,0,0,0.146,0.428571429,0,0,0,0,0,0,0,0
1,0,0,0,1,0.08,0.32,0,0.141,0.585,0,0,0.12,0.08,0.08,0.08,0,0,1
0,0,0,1,0,0.04,0.08,0,0,0.585,0.16,0.16,0.12,0.08,0,0,0.08,0,1
0,0.125,0,0,0,0.041666667,0.166666667,0,0.297,0.561,0.041666667,0.041666667,0.041666667,0.083333333,0.083333333,0.041666667,0.041666667,0,1
0,0,0,0,0,0.25,0.4375,0,0,0.366,0.125,0.0625,0.0625,0.0625,0,0,0,0,1
1,0,0.286,0,1,0.083333333,0.291666667,0,0,0.561,0.125,0,0.083333333,0.083333333,0,0,0,1,0
0,0,0,0,0,0.068965517,0.310344828,0,0,0.683,0.068965517,0.068965517,0.068965517,0.068965517,0.068965517,0,0,0,1
0,0,0,0,0,0,0.0625,0,0,0.366,0.125,0.0625,0.0625,0,0.0625,0,0,1,0
0,0.125,0,0,0,0.058823529,0.117647059,0,0,0.39,0.058823529,0.058823529,0.176470588,0.058823529,0.058823529,0,0,1,0
0,0,0,0,0,0.185185185,0.259259259,0,0.095,0.634,0.074074074,0,0.074074074,0.074074074,0,0.037037037,0,1,0
0,0.125,0,0,0,0.133333333,0.2,0,0.076,0.707,0.133333333,0.066666667,0.133333333,0.033333333,0,0,0,1,0
0,0.125,0,0,0,0.25,0.25,0,0,0.073,0,0,0,0,0.25,0,0,1,0
0,0,0,0,0,0,0.222222222,0,0.278,0.634,0.074074074,0.037037037,0,0.148148148,0,0.111111111,0,1,0
0,0,0,0,1,0.08,0.28,0,0.103,0.585,0.12,0.04,0.12,0.08,0.04,0,0,1,0
0,0.125,0,0,1,0.133333333,0.3,0,0,0.707,0.066666667,0.1,0.166666667,0.033333333,0.1,0,0,1,0
0,0.25,0,1,0,0.041666667,0.125,0,0.27,0.561,0.125,0.041666667,0,0.166666667,0,0.041666667,0,0,0
0,0.375,0,0,0,0.111111111,0.148148148,0,0,0.634,0.111111111,0.037037037,0.148148148,0.074074074,0,0,0,1,0
0,0.375,0,1,0,0.043478261,0.086956522,0,0.136,0.537,0.173913043,0,0.043478261,0.086956522,0.043478261,0.043478261,0,1,0
0,0.375,0,0,0,0.176470588,0.235294118,0,0,0.39,0.117647059,0,0.176470588,0,0.058823529,0,0,1,0
1,0.25,0,0,1,0.105263158,0.105263158,1,0,0.439,0.315789474,0.052631579,0,0.052631579,0.052631579,0,0,1,0
1,0,0,1,1,0.05,0.25,0,0,0.463,0.35,0,0.1,0.1,0,0.05,0,1,0
1,0.125,0,1,1,0,0,1,0,0.293,0.307692308,0,0.153846154,0.230769231,0.076923077,0.076923077,0,1,0
0,0.25,0,1,0,0.3,0.433333333,0,0.24,0.707,0.133333333,0,0.033333333,0.033333333,0.066666667,0.033333333,0,1,0
0,0.5,0,1,0,0.4,0.3,0,0,0.22,0.2,0,0,0.1,0.1,0,0,1,0
0,0.375,0,1,0,0,0.052631579,1,0,0.439,0.368421053,0.105263158,0.052631579,0.210526316,0,0.105263158,0,1,0
0,0.125,0,0,0,0,0.041666667,0,0.084,0.561,0.166666667,0.041666667,0.125,0,0.125,0,0.041666667,0,1
1,0,0.286,0,1,0,0.1,0,0,0.463,0.1,0.05,0.15,0.15,0.05,0,0,0,1
1,0,0.286,0,1,0,0,0,0,0.049,0.666666667,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0.24137931,0,0,0.683,0.034482759,0.034482759,0.103448276,0.068965517,0.034482759,0.034482759,0,0,1
1,0,0.143,0,1,0,0.117647059,0,0,0.39,0.235294118,0.058823529,0.058823529,0.117647059,0.058823529,0,0,1,0
1,0,0,0,0,0,0.294117647,0,0,0.39,0.117647059,0.058823529,0.058823529,0.058823529,0,0,0,0,1
1,0,0.143,0,0,0,0.352941176,0,0,0.39,0.117647059,0.058823529,0.058823529,0.117647059,0.058823529,0,0,0,1
1,0,0,0,0,0.095238095,0.285714286,0,0.38,0.488,0,0,0.095238095,0.142857143,0.047619048,0.047619048,0.095238095,0,1
1,0,0.143,0,0,0.052631579,0.157894737,0,0,0.439,0.157894737,0.052631579,0.052631579,0,0.052631579,0.052631579,0,0,1
1,0.125,0.143,0,0,0,0.157894737,0,0,0.439,0.315789474,0,0.052631579,0.052631579,0,0.052631579,0.052631579,0,0
1,0.125,0.143,0,0,0.068965517,0.137931034,0,0,0.683,0.103448276,0.068965517,0.103448276,0.103448276,0,0.034482759,0,0,0
1,0,0,0,0,0.035714286,0.25,0,0.269,0.659,0.071428571,0.035714286,0,0.035714286,0.035714286,0.035714286,0,0,0
1,0,0.143,0,1,0,0,0,0,0.049,0.666666667,0,0,0,0,0,0,0,0
1,0.125,0.143,0,0,0.043478261,0.217391304,0,0,0.537,0.217391304,0,0.043478261,0.043478261,0,0.043478261,0,0,0
1,0,0.286,0,1,0,0,0,0,0.049,0,0,0,0,0.333333333,0,0,0,0
0,0.25,0,0,0,0,0.083333333,1,0.285,0.268,0.25,0.083333333,0,0.083333333,0,0,0.083333333,1,0
0,0.125,0,0,0,0,0.121212121,0,0.198,0.78,0.121212121,0.121212121,0.090909091,0.060606061,0.03030303,0.090909091,0,1,0
0,0.375,0,1,0,0,0.045454545,1,0.434,0.512,0.318181818,0.045454545,0.045454545,0.090909091,0,0.045454545,0,1,0
1,0,0,0,1,0,0.25,0,0.148,0.561,0.083333333,0.083333333,0,0.083333333,0,0.083333333,0.041666667,1,0
1,0,0,0,0,0.117647059,0.411764706,0,0,0.39,0.176470588,0.117647059,0.176470588,0,0,0,0,1,0
1,0,0,0,1,0.3125,0.375,0,0,0.366,0.1875,0,0.0625,0,0,0,0,0,1
0,0,0,0,0,0.068965517,0.137931034,0,0.128,0.683,0.206896552,0.137931034,0.034482759,0.103448276,0.068965517,0,0.103448276,0,1
0,0,0,0,0,0,0.038461538,0,0,0.61,0,0.115384615,0.076923077,0.153846154,0.192307692,0,0,0,1
0,0,0,0,0,0,0.407407407,0,0.104,0.634,0.037037037,0.037037037,0.111111111,0,0.037037037,0,0.037037037,0,1
0,0,0,0,0,0,0.12,0,0.264,0.585,0.08,0,0.2,0.04,0.12,0,0.08,1,0
0,0,0,0,0,0.153846154,0.307692308,0,0.23,0.61,0,0.076923077,0.115384615,0.038461538,0.115384615,0.038461538,0.038461538,1,0
0,0,0,0,0,0,0.107142857,0,0.234,0.659,0.178571429,0.107142857,0.142857143,0.071428571,0.035714286,0.035714286,0.035714286,1,0
0,0,0,1,0,0.029411765,0.058823529,0,0.243,0.805,0.176470588,0.147058824,0.176470588,0.058823529,0.029411765,0,0.029411765,1,0
1,0,0,0,0,0,0.086956522,0,0.137,0.537,0.173913043,0.130434783,0.043478261,0,0.086956522,0,0.086956522,1,0
0,0,0,0,0,0.074074074,0.222222222,0,0,0.634,0,0.074074074,0.074074074,0,0.148148148,0,0,0,1
0,0.375,0,0,0,0.071428571,0.25,0,0.196,0.659,0.071428571,0.107142857,0.035714286,0.035714286,0.035714286,0,0,0,1
0,0,0,0,0,0,0.148148148,0,0.206,0.634,0.185185185,0.074074074,0.074074074,0.037037037,0,0,0.037037037,0,1
0,0.125,0,0,0,0,0.222222222,0,0,0.415,0.055555556,0,0.055555556,0,0.166666667,0,0,1,0
1,0,0.286,0,1,0.071428571,0.285714286,0,0,0.317,0.285714286,0,0.071428571,0,0,0,0,1,0
1,0,0.286,0,1,0,0.272727273,0,0,0.244,0.272727273,0,0.090909091,0.090909091,0,0,0,1,0
1,0,0.286,1,1,0,0.357142857,0,0.197,0.317,0.071428571,0,0.071428571,0.142857143,0,0,0,0,1
1,0,0.143,0,1,0.095238095,0.19047619,0,0,0.488,0.238095238,0.047619048,0.047619048,0.142857143,0.047619048,0,0,0,1
1,0,0.286,0,1,0,0,0,0,0.098,0.6,0,0,0.2,0,0,0,0,1
0,0.125,0,0,0,0,0.142857143,0,0,0.146,0,0,0.285714286,0,0.142857143,0,0,1,0
0,0.5,0,1,1,0,0,1,0,0.171,0.5,0,0,0.125,0,0,0,1,0
0,0.5,0,1,0,0,0,1,0.273,0.512,0.318181818,0.045454545,0.045454545,0.090909091,0.045454545,0.045454545,0,1,0
0,0,0,0,0,0.178571429,0.25,0,0.37,0.659,0.142857143,0.071428571,0.142857143,0.107142857,0.107142857,0.035714286,0,1,0
0,0,0,0,0,0,0.296296296,0,0,0.634,0.185185185,0.037037037,0.037037037,0.111111111,0,0,0.037037037,1,0
0,0,0,0,0,0.178571429,0.214285714,0,0.196,0.659,0.071428571,0.107142857,0.107142857,0.107142857,0,0.035714286,0,1,0
0,0,0,0,0,0.058823529,0.147058824,0,0.101,0.805,0.058823529,0.117647059,0.117647059,0.088235294,0,0,0.088235294,1,0
0,0,0,0,0,0.064516129,0.193548387,0,0,0.732,0.064516129,0.032258065,0.096774194,0.096774194,0.032258065,0,0,1,0
0,0.25,0,1,0,0.130434783,0.304347826,0,0,0.537,0.217391304,0.043478261,0.130434783,0.086956522,0,0,0,1,0
0,0.75,0.143,0,0,0.095238095,0.142857143,1,0.104,0.488,0.285714286,0.047619048,0.047619048,0.047619048,0,0,0,1,0
1,0,0,0,1,0,0.142857143,0,0,0.146,0.285714286,0.142857143,0,0.142857143,0,0.142857143,0,0,1
1,0,0,0,1,0.214285714,0.285714286,0,0.331,0.317,0.142857143,0.071428571,0.142857143,0.071428571,0.071428571,0,0.142857143,0,1
1,0,0,0,1,0,0.375,0,0,0.171,0.25,0,0.125,0,0,0.125,0,0,1
0,0.25,0,0,0,0.038461538,0.076923077,1,0.11,0.61,0.153846154,0.115384615,0.076923077,0,0.038461538,0,0,0,0
1,0,0.143,0,1,0,0,0,0,0.073,0.75,0,0,0,0,0,0,1,0
